#indeks,segment,pozycja,pokrycie
1,hRSV/A/England/397/2017,1,0
2,hRSV/A/England/397/2017,2,0
3,hRSV/A/England/397/2017,3,0
4,hRSV/A/England/397/2017,4,0
5,hRSV/A/England/397/2017,5,0
6,hRSV/A/England/397/2017,6,0
7,hRSV/A/England/397/2017,7,0
8,hRSV/A/England/397/2017,8,0
9,hRSV/A/England/397/2017,9,0
10,hRSV/A/England/397/2017,10,0
11,hRSV/A/England/397/2017,11,0
12,hRSV/A/England/397/2017,12,0
13,hRSV/A/England/397/2017,13,0
14,hRSV/A/England/397/2017,14,0
15,hRSV/A/England/397/2017,15,0
16,hRSV/A/England/397/2017,16,0
17,hRSV/A/England/397/2017,17,0
18,hRSV/A/England/397/2017,18,0
19,hRSV/A/England/397/2017,19,0
20,hRSV/A/England/397/2017,20,0
21,hRSV/A/England/397/2017,21,0
22,hRSV/A/England/397/2017,22,0
23,hRSV/A/England/397/2017,23,0
24,hRSV/A/England/397/2017,24,0
25,hRSV/A/England/397/2017,25,0
26,hRSV/A/England/397/2017,26,0
27,hRSV/A/England/397/2017,27,0
28,hRSV/A/England/397/2017,28,0
29,hRSV/A/England/397/2017,29,0
30,hRSV/A/England/397/2017,30,0
31,hRSV/A/England/397/2017,31,0
32,hRSV/A/England/397/2017,32,0
33,hRSV/A/England/397/2017,33,0
34,hRSV/A/England/397/2017,34,0
35,hRSV/A/England/397/2017,35,0
36,hRSV/A/England/397/2017,36,0
37,hRSV/A/England/397/2017,37,0
38,hRSV/A/England/397/2017,38,0
39,hRSV/A/England/397/2017,39,0
40,hRSV/A/England/397/2017,40,0
41,hRSV/A/England/397/2017,41,0
42,hRSV/A/England/397/2017,42,0
43,hRSV/A/England/397/2017,43,0
44,hRSV/A/England/397/2017,44,0
45,hRSV/A/England/397/2017,45,0
46,hRSV/A/England/397/2017,46,0
47,hRSV/A/England/397/2017,47,0
48,hRSV/A/England/397/2017,48,0
49,hRSV/A/England/397/2017,49,0
50,hRSV/A/England/397/2017,50,0
51,hRSV/A/England/397/2017,51,0
52,hRSV/A/England/397/2017,52,0
53,hRSV/A/England/397/2017,53,0
54,hRSV/A/England/397/2017,54,0
55,hRSV/A/England/397/2017,55,0
56,hRSV/A/England/397/2017,56,0
57,hRSV/A/England/397/2017,57,0
58,hRSV/A/England/397/2017,58,0
59,hRSV/A/England/397/2017,59,0
60,hRSV/A/England/397/2017,60,0
61,hRSV/A/England/397/2017,61,0
62,hRSV/A/England/397/2017,62,0
63,hRSV/A/England/397/2017,63,0
64,hRSV/A/England/397/2017,64,0
65,hRSV/A/England/397/2017,65,0
66,hRSV/A/England/397/2017,66,0
67,hRSV/A/England/397/2017,67,0
68,hRSV/A/England/397/2017,68,0
69,hRSV/A/England/397/2017,69,0
70,hRSV/A/England/397/2017,70,0
71,hRSV/A/England/397/2017,71,0
72,hRSV/A/England/397/2017,72,0
73,hRSV/A/England/397/2017,73,0
74,hRSV/A/England/397/2017,74,0
75,hRSV/A/England/397/2017,75,0
76,hRSV/A/England/397/2017,76,0
77,hRSV/A/England/397/2017,77,0
78,hRSV/A/England/397/2017,78,0
79,hRSV/A/England/397/2017,79,0
80,hRSV/A/England/397/2017,80,0
81,hRSV/A/England/397/2017,81,0
82,hRSV/A/England/397/2017,82,286
83,hRSV/A/England/397/2017,83,309
84,hRSV/A/England/397/2017,84,313
85,hRSV/A/England/397/2017,85,313
86,hRSV/A/England/397/2017,86,313
87,hRSV/A/England/397/2017,87,361
88,hRSV/A/England/397/2017,88,361
89,hRSV/A/England/397/2017,89,395
90,hRSV/A/England/397/2017,90,404
91,hRSV/A/England/397/2017,91,414
92,hRSV/A/England/397/2017,92,455
93,hRSV/A/England/397/2017,93,471
94,hRSV/A/England/397/2017,94,517
95,hRSV/A/England/397/2017,95,519
96,hRSV/A/England/397/2017,96,522
97,hRSV/A/England/397/2017,97,522
98,hRSV/A/England/397/2017,98,552
99,hRSV/A/England/397/2017,99,555
100,hRSV/A/England/397/2017,100,555
101,hRSV/A/England/397/2017,101,557
102,hRSV/A/England/397/2017,102,557
103,hRSV/A/England/397/2017,103,558
104,hRSV/A/England/397/2017,104,558
105,hRSV/A/England/397/2017,105,569
106,hRSV/A/England/397/2017,106,580
107,hRSV/A/England/397/2017,107,591
108,hRSV/A/England/397/2017,108,600
109,hRSV/A/England/397/2017,109,604
110,hRSV/A/England/397/2017,110,605
111,hRSV/A/England/397/2017,111,606
112,hRSV/A/England/397/2017,112,606
113,hRSV/A/England/397/2017,113,608
114,hRSV/A/England/397/2017,114,609
115,hRSV/A/England/397/2017,115,623
116,hRSV/A/England/397/2017,116,624
117,hRSV/A/England/397/2017,117,632
118,hRSV/A/England/397/2017,118,638
119,hRSV/A/England/397/2017,119,638
120,hRSV/A/England/397/2017,120,638
121,hRSV/A/England/397/2017,121,638
122,hRSV/A/England/397/2017,122,647
123,hRSV/A/England/397/2017,123,651
124,hRSV/A/England/397/2017,124,651
125,hRSV/A/England/397/2017,125,656
126,hRSV/A/England/397/2017,126,660
127,hRSV/A/England/397/2017,127,660
128,hRSV/A/England/397/2017,128,664
129,hRSV/A/England/397/2017,129,664
130,hRSV/A/England/397/2017,130,666
131,hRSV/A/England/397/2017,131,676
132,hRSV/A/England/397/2017,132,676
133,hRSV/A/England/397/2017,133,681
134,hRSV/A/England/397/2017,134,728
135,hRSV/A/England/397/2017,135,728
136,hRSV/A/England/397/2017,136,735
137,hRSV/A/England/397/2017,137,738
138,hRSV/A/England/397/2017,138,738
139,hRSV/A/England/397/2017,139,744
140,hRSV/A/England/397/2017,140,746
141,hRSV/A/England/397/2017,141,792
142,hRSV/A/England/397/2017,142,795
143,hRSV/A/England/397/2017,143,795
144,hRSV/A/England/397/2017,144,799
145,hRSV/A/England/397/2017,145,799
146,hRSV/A/England/397/2017,146,801
147,hRSV/A/England/397/2017,147,805
148,hRSV/A/England/397/2017,148,806
149,hRSV/A/England/397/2017,149,812
150,hRSV/A/England/397/2017,150,813
151,hRSV/A/England/397/2017,151,813
152,hRSV/A/England/397/2017,152,814
153,hRSV/A/England/397/2017,153,852
154,hRSV/A/England/397/2017,154,853
155,hRSV/A/England/397/2017,155,855
156,hRSV/A/England/397/2017,156,857
157,hRSV/A/England/397/2017,157,857
158,hRSV/A/England/397/2017,158,885
159,hRSV/A/England/397/2017,159,885
160,hRSV/A/England/397/2017,160,885
161,hRSV/A/England/397/2017,161,885
162,hRSV/A/England/397/2017,162,877
163,hRSV/A/England/397/2017,163,879
164,hRSV/A/England/397/2017,164,881
165,hRSV/A/England/397/2017,165,882
166,hRSV/A/England/397/2017,166,882
167,hRSV/A/England/397/2017,167,891
168,hRSV/A/England/397/2017,168,893
169,hRSV/A/England/397/2017,169,894
170,hRSV/A/England/397/2017,170,894
171,hRSV/A/England/397/2017,171,894
172,hRSV/A/England/397/2017,172,890
173,hRSV/A/England/397/2017,173,890
174,hRSV/A/England/397/2017,174,891
175,hRSV/A/England/397/2017,175,899
176,hRSV/A/England/397/2017,176,874
177,hRSV/A/England/397/2017,177,887
178,hRSV/A/England/397/2017,178,907
179,hRSV/A/England/397/2017,179,909
180,hRSV/A/England/397/2017,180,925
181,hRSV/A/England/397/2017,181,928
182,hRSV/A/England/397/2017,182,930
183,hRSV/A/England/397/2017,183,929
184,hRSV/A/England/397/2017,184,921
185,hRSV/A/England/397/2017,185,921
186,hRSV/A/England/397/2017,186,914
187,hRSV/A/England/397/2017,187,913
188,hRSV/A/England/397/2017,188,917
189,hRSV/A/England/397/2017,189,916
190,hRSV/A/England/397/2017,190,920
191,hRSV/A/England/397/2017,191,914
192,hRSV/A/England/397/2017,192,927
193,hRSV/A/England/397/2017,193,928
194,hRSV/A/England/397/2017,194,933
195,hRSV/A/England/397/2017,195,929
196,hRSV/A/England/397/2017,196,911
197,hRSV/A/England/397/2017,197,911
198,hRSV/A/England/397/2017,198,911
199,hRSV/A/England/397/2017,199,912
200,hRSV/A/England/397/2017,200,914
201,hRSV/A/England/397/2017,201,891
202,hRSV/A/England/397/2017,202,906
203,hRSV/A/England/397/2017,203,907
204,hRSV/A/England/397/2017,204,913
205,hRSV/A/England/397/2017,205,914
206,hRSV/A/England/397/2017,206,911
207,hRSV/A/England/397/2017,207,913
208,hRSV/A/England/397/2017,208,918
209,hRSV/A/England/397/2017,209,902
210,hRSV/A/England/397/2017,210,902
211,hRSV/A/England/397/2017,211,866
212,hRSV/A/England/397/2017,212,869
213,hRSV/A/England/397/2017,213,862
214,hRSV/A/England/397/2017,214,860
215,hRSV/A/England/397/2017,215,832
216,hRSV/A/England/397/2017,216,822
217,hRSV/A/England/397/2017,217,811
218,hRSV/A/England/397/2017,218,811
219,hRSV/A/England/397/2017,219,810
220,hRSV/A/England/397/2017,220,803
221,hRSV/A/England/397/2017,221,786
222,hRSV/A/England/397/2017,222,787
223,hRSV/A/England/397/2017,223,785
224,hRSV/A/England/397/2017,224,786
225,hRSV/A/England/397/2017,225,779
226,hRSV/A/England/397/2017,226,775
227,hRSV/A/England/397/2017,227,784
228,hRSV/A/England/397/2017,228,739
229,hRSV/A/England/397/2017,229,739
230,hRSV/A/England/397/2017,230,743
231,hRSV/A/England/397/2017,231,722
232,hRSV/A/England/397/2017,232,749
233,hRSV/A/England/397/2017,233,750
234,hRSV/A/England/397/2017,234,750
235,hRSV/A/England/397/2017,235,727
236,hRSV/A/England/397/2017,236,704
237,hRSV/A/England/397/2017,237,693
238,hRSV/A/England/397/2017,238,699
239,hRSV/A/England/397/2017,239,726
240,hRSV/A/England/397/2017,240,711
241,hRSV/A/England/397/2017,241,666
242,hRSV/A/England/397/2017,242,652
243,hRSV/A/England/397/2017,243,666
244,hRSV/A/England/397/2017,244,663
245,hRSV/A/England/397/2017,245,663
246,hRSV/A/England/397/2017,246,658
247,hRSV/A/England/397/2017,247,666
248,hRSV/A/England/397/2017,248,665
249,hRSV/A/England/397/2017,249,668
250,hRSV/A/England/397/2017,250,668
251,hRSV/A/England/397/2017,251,668
252,hRSV/A/England/397/2017,252,653
253,hRSV/A/England/397/2017,253,652
254,hRSV/A/England/397/2017,254,646
255,hRSV/A/England/397/2017,255,644
256,hRSV/A/England/397/2017,256,632
257,hRSV/A/England/397/2017,257,633
258,hRSV/A/England/397/2017,258,632
259,hRSV/A/England/397/2017,259,631
260,hRSV/A/England/397/2017,260,638
261,hRSV/A/England/397/2017,261,643
262,hRSV/A/England/397/2017,262,640
263,hRSV/A/England/397/2017,263,620
264,hRSV/A/England/397/2017,264,617
265,hRSV/A/England/397/2017,265,612
266,hRSV/A/England/397/2017,266,607
267,hRSV/A/England/397/2017,267,612
268,hRSV/A/England/397/2017,268,616
269,hRSV/A/England/397/2017,269,612
270,hRSV/A/England/397/2017,270,608
271,hRSV/A/England/397/2017,271,655
272,hRSV/A/England/397/2017,272,656
273,hRSV/A/England/397/2017,273,690
274,hRSV/A/England/397/2017,274,688
275,hRSV/A/England/397/2017,275,689
276,hRSV/A/England/397/2017,276,705
277,hRSV/A/England/397/2017,277,706
278,hRSV/A/England/397/2017,278,729
279,hRSV/A/England/397/2017,279,726
280,hRSV/A/England/397/2017,280,664
281,hRSV/A/England/397/2017,281,663
282,hRSV/A/England/397/2017,282,631
283,hRSV/A/England/397/2017,283,634
284,hRSV/A/England/397/2017,284,633
285,hRSV/A/England/397/2017,285,629
286,hRSV/A/England/397/2017,286,636
287,hRSV/A/England/397/2017,287,651
288,hRSV/A/England/397/2017,288,652
289,hRSV/A/England/397/2017,289,639
290,hRSV/A/England/397/2017,290,639
291,hRSV/A/England/397/2017,291,657
