#indeks,segment,pozycja,pokrycie
1,hRSV/A/England/397/2017,1,0
2,hRSV/A/England/397/2017,2,0
3,hRSV/A/England/397/2017,3,0
4,hRSV/A/England/397/2017,4,0
5,hRSV/A/England/397/2017,5,0
6,hRSV/A/England/397/2017,6,0
7,hRSV/A/England/397/2017,7,0
8,hRSV/A/England/397/2017,8,0
9,hRSV/A/England/397/2017,9,0
10,hRSV/A/England/397/2017,10,0
11,hRSV/A/England/397/2017,11,0
12,hRSV/A/England/397/2017,12,0
13,hRSV/A/England/397/2017,13,0
14,hRSV/A/England/397/2017,14,0
15,hRSV/A/England/397/2017,15,0
16,hRSV/A/England/397/2017,16,0
17,hRSV/A/England/397/2017,17,0
18,hRSV/A/England/397/2017,18,0
19,hRSV/A/England/397/2017,19,0
20,hRSV/A/England/397/2017,20,0
21,hRSV/A/England/397/2017,21,0
22,hRSV/A/England/397/2017,22,0
23,hRSV/A/England/397/2017,23,0
24,hRSV/A/England/397/2017,24,0
25,hRSV/A/England/397/2017,25,0
26,hRSV/A/England/397/2017,26,0
27,hRSV/A/England/397/2017,27,0
28,hRSV/A/England/397/2017,28,0
29,hRSV/A/England/397/2017,29,0
30,hRSV/A/England/397/2017,30,0
31,hRSV/A/England/397/2017,31,0
32,hRSV/A/England/397/2017,32,0
33,hRSV/A/England/397/2017,33,0
34,hRSV/A/England/397/2017,34,0
35,hRSV/A/England/397/2017,35,0
36,hRSV/A/England/397/2017,36,0
37,hRSV/A/England/397/2017,37,0
38,hRSV/A/England/397/2017,38,0
39,hRSV/A/England/397/2017,39,0
40,hRSV/A/England/397/2017,40,0
41,hRSV/A/England/397/2017,41,0
42,hRSV/A/England/397/2017,42,0
43,hRSV/A/England/397/2017,43,0
44,hRSV/A/England/397/2017,44,0
45,hRSV/A/England/397/2017,45,0
46,hRSV/A/England/397/2017,46,0
47,hRSV/A/England/397/2017,47,0
48,hRSV/A/England/397/2017,48,0
49,hRSV/A/England/397/2017,49,0
50,hRSV/A/England/397/2017,50,0
51,hRSV/A/England/397/2017,51,0
52,hRSV/A/England/397/2017,52,0
53,hRSV/A/England/397/2017,53,0
54,hRSV/A/England/397/2017,54,0
55,hRSV/A/England/397/2017,55,0
56,hRSV/A/England/397/2017,56,0
57,hRSV/A/England/397/2017,57,0
58,hRSV/A/England/397/2017,58,0
59,hRSV/A/England/397/2017,59,0
60,hRSV/A/England/397/2017,60,0
61,hRSV/A/England/397/2017,61,0
62,hRSV/A/England/397/2017,62,0
63,hRSV/A/England/397/2017,63,0
64,hRSV/A/England/397/2017,64,0
65,hRSV/A/England/397/2017,65,0
66,hRSV/A/England/397/2017,66,0
67,hRSV/A/England/397/2017,67,0
68,hRSV/A/England/397/2017,68,0
69,hRSV/A/England/397/2017,69,0
70,hRSV/A/England/397/2017,70,0
71,hRSV/A/England/397/2017,71,0
72,hRSV/A/England/397/2017,72,0
73,hRSV/A/England/397/2017,73,0
74,hRSV/A/England/397/2017,74,0
75,hRSV/A/England/397/2017,75,0
76,hRSV/A/England/397/2017,76,0
77,hRSV/A/England/397/2017,77,0
78,hRSV/A/England/397/2017,78,0
79,hRSV/A/England/397/2017,79,0
80,hRSV/A/England/397/2017,80,0
81,hRSV/A/England/397/2017,81,0
82,hRSV/A/England/397/2017,82,285
83,hRSV/A/England/397/2017,83,316
84,hRSV/A/England/397/2017,84,317
85,hRSV/A/England/397/2017,85,317
86,hRSV/A/England/397/2017,86,317
87,hRSV/A/England/397/2017,87,360
88,hRSV/A/England/397/2017,88,363
89,hRSV/A/England/397/2017,89,397
90,hRSV/A/England/397/2017,90,409
91,hRSV/A/England/397/2017,91,414
92,hRSV/A/England/397/2017,92,462
93,hRSV/A/England/397/2017,93,479
94,hRSV/A/England/397/2017,94,525
95,hRSV/A/England/397/2017,95,527
96,hRSV/A/England/397/2017,96,528
97,hRSV/A/England/397/2017,97,529
98,hRSV/A/England/397/2017,98,559
99,hRSV/A/England/397/2017,99,562
100,hRSV/A/England/397/2017,100,563
101,hRSV/A/England/397/2017,101,565
102,hRSV/A/England/397/2017,102,565
103,hRSV/A/England/397/2017,103,569
104,hRSV/A/England/397/2017,104,569
105,hRSV/A/England/397/2017,105,576
106,hRSV/A/England/397/2017,106,595
107,hRSV/A/England/397/2017,107,603
108,hRSV/A/England/397/2017,108,612
109,hRSV/A/England/397/2017,109,617
110,hRSV/A/England/397/2017,110,617
111,hRSV/A/England/397/2017,111,617
112,hRSV/A/England/397/2017,112,620
113,hRSV/A/England/397/2017,113,622
114,hRSV/A/England/397/2017,114,622
115,hRSV/A/England/397/2017,115,634
116,hRSV/A/England/397/2017,116,639
117,hRSV/A/England/397/2017,117,648
118,hRSV/A/England/397/2017,118,654
119,hRSV/A/England/397/2017,119,654
120,hRSV/A/England/397/2017,120,655
121,hRSV/A/England/397/2017,121,657
122,hRSV/A/England/397/2017,122,665
123,hRSV/A/England/397/2017,123,667
124,hRSV/A/England/397/2017,124,667
125,hRSV/A/England/397/2017,125,672
126,hRSV/A/England/397/2017,126,681
127,hRSV/A/England/397/2017,127,682
128,hRSV/A/England/397/2017,128,684
129,hRSV/A/England/397/2017,129,684
130,hRSV/A/England/397/2017,130,687
131,hRSV/A/England/397/2017,131,693
132,hRSV/A/England/397/2017,132,693
133,hRSV/A/England/397/2017,133,698
134,hRSV/A/England/397/2017,134,751
135,hRSV/A/England/397/2017,135,751
136,hRSV/A/England/397/2017,136,758
137,hRSV/A/England/397/2017,137,769
138,hRSV/A/England/397/2017,138,769
139,hRSV/A/England/397/2017,139,783
140,hRSV/A/England/397/2017,140,783
141,hRSV/A/England/397/2017,141,823
142,hRSV/A/England/397/2017,142,827
143,hRSV/A/England/397/2017,143,827
144,hRSV/A/England/397/2017,144,827
145,hRSV/A/England/397/2017,145,827
146,hRSV/A/England/397/2017,146,830
147,hRSV/A/England/397/2017,147,834
148,hRSV/A/England/397/2017,148,840
149,hRSV/A/England/397/2017,149,844
150,hRSV/A/England/397/2017,150,844
151,hRSV/A/England/397/2017,151,845
152,hRSV/A/England/397/2017,152,848
153,hRSV/A/England/397/2017,153,890
154,hRSV/A/England/397/2017,154,890
155,hRSV/A/England/397/2017,155,900
156,hRSV/A/England/397/2017,156,907
157,hRSV/A/England/397/2017,157,907
158,hRSV/A/England/397/2017,158,937
159,hRSV/A/England/397/2017,159,937
160,hRSV/A/England/397/2017,160,937
161,hRSV/A/England/397/2017,161,937
162,hRSV/A/England/397/2017,162,931
163,hRSV/A/England/397/2017,163,932
164,hRSV/A/England/397/2017,164,935
165,hRSV/A/England/397/2017,165,936
166,hRSV/A/England/397/2017,166,934
167,hRSV/A/England/397/2017,167,963
168,hRSV/A/England/397/2017,168,968
169,hRSV/A/England/397/2017,169,977
170,hRSV/A/England/397/2017,170,977
171,hRSV/A/England/397/2017,171,977
172,hRSV/A/England/397/2017,172,975
173,hRSV/A/England/397/2017,173,975
174,hRSV/A/England/397/2017,174,971
175,hRSV/A/England/397/2017,175,973
176,hRSV/A/England/397/2017,176,952
177,hRSV/A/England/397/2017,177,960
178,hRSV/A/England/397/2017,178,970
179,hRSV/A/England/397/2017,179,979
180,hRSV/A/England/397/2017,180,987
181,hRSV/A/England/397/2017,181,986
182,hRSV/A/England/397/2017,182,990
183,hRSV/A/England/397/2017,183,990
184,hRSV/A/England/397/2017,184,979
185,hRSV/A/England/397/2017,185,979
186,hRSV/A/England/397/2017,186,970
187,hRSV/A/England/397/2017,187,972
188,hRSV/A/England/397/2017,188,980
189,hRSV/A/England/397/2017,189,989
190,hRSV/A/England/397/2017,190,993
191,hRSV/A/England/397/2017,191,989
192,hRSV/A/England/397/2017,192,1000
193,hRSV/A/England/397/2017,193,1000
194,hRSV/A/England/397/2017,194,1007
195,hRSV/A/England/397/2017,195,1003
196,hRSV/A/England/397/2017,196,995
197,hRSV/A/England/397/2017,197,996
198,hRSV/A/England/397/2017,198,1000
199,hRSV/A/England/397/2017,199,1002
200,hRSV/A/England/397/2017,200,1005
201,hRSV/A/England/397/2017,201,989
202,hRSV/A/England/397/2017,202,1003
203,hRSV/A/England/397/2017,203,1004
204,hRSV/A/England/397/2017,204,1012
205,hRSV/A/England/397/2017,205,1016
206,hRSV/A/England/397/2017,206,1018
207,hRSV/A/England/397/2017,207,1011
208,hRSV/A/England/397/2017,208,1011
209,hRSV/A/England/397/2017,209,1007
210,hRSV/A/England/397/2017,210,1006
211,hRSV/A/England/397/2017,211,973
212,hRSV/A/England/397/2017,212,973
213,hRSV/A/England/397/2017,213,964
214,hRSV/A/England/397/2017,214,970
215,hRSV/A/England/397/2017,215,947
216,hRSV/A/England/397/2017,216,936
217,hRSV/A/England/397/2017,217,932
218,hRSV/A/England/397/2017,218,931
219,hRSV/A/England/397/2017,219,933
220,hRSV/A/England/397/2017,220,929
221,hRSV/A/England/397/2017,221,904
222,hRSV/A/England/397/2017,222,905
223,hRSV/A/England/397/2017,223,888
224,hRSV/A/England/397/2017,224,892
225,hRSV/A/England/397/2017,225,884
226,hRSV/A/England/397/2017,226,881
227,hRSV/A/England/397/2017,227,871
228,hRSV/A/England/397/2017,228,837
229,hRSV/A/England/397/2017,229,836
230,hRSV/A/England/397/2017,230,836
231,hRSV/A/England/397/2017,231,814
232,hRSV/A/England/397/2017,232,855
233,hRSV/A/England/397/2017,233,857
234,hRSV/A/England/397/2017,234,857
235,hRSV/A/England/397/2017,235,834
236,hRSV/A/England/397/2017,236,813
237,hRSV/A/England/397/2017,237,793
238,hRSV/A/England/397/2017,238,797
239,hRSV/A/England/397/2017,239,816
240,hRSV/A/England/397/2017,240,793
241,hRSV/A/England/397/2017,241,748
242,hRSV/A/England/397/2017,242,730
243,hRSV/A/England/397/2017,243,744
244,hRSV/A/England/397/2017,244,743
245,hRSV/A/England/397/2017,245,748
246,hRSV/A/England/397/2017,246,735
247,hRSV/A/England/397/2017,247,732
248,hRSV/A/England/397/2017,248,732
249,hRSV/A/England/397/2017,249,732
250,hRSV/A/England/397/2017,250,732
251,hRSV/A/England/397/2017,251,734
252,hRSV/A/England/397/2017,252,720
253,hRSV/A/England/397/2017,253,715
254,hRSV/A/England/397/2017,254,706
255,hRSV/A/England/397/2017,255,704
256,hRSV/A/England/397/2017,256,690
257,hRSV/A/England/397/2017,257,697
258,hRSV/A/England/397/2017,258,699
259,hRSV/A/England/397/2017,259,699
260,hRSV/A/England/397/2017,260,700
261,hRSV/A/England/397/2017,261,704
262,hRSV/A/England/397/2017,262,704
263,hRSV/A/England/397/2017,263,690
264,hRSV/A/England/397/2017,264,685
265,hRSV/A/England/397/2017,265,678
266,hRSV/A/England/397/2017,266,680
267,hRSV/A/England/397/2017,267,681
268,hRSV/A/England/397/2017,268,680
269,hRSV/A/England/397/2017,269,675
270,hRSV/A/England/397/2017,270,671
271,hRSV/A/England/397/2017,271,730
272,hRSV/A/England/397/2017,272,734
273,hRSV/A/England/397/2017,273,777
274,hRSV/A/England/397/2017,274,768
275,hRSV/A/England/397/2017,275,776
276,hRSV/A/England/397/2017,276,784
277,hRSV/A/England/397/2017,277,784
278,hRSV/A/England/397/2017,278,796
279,hRSV/A/England/397/2017,279,790
280,hRSV/A/England/397/2017,280,736
281,hRSV/A/England/397/2017,281,734
282,hRSV/A/England/397/2017,282,685
283,hRSV/A/England/397/2017,283,687
284,hRSV/A/England/397/2017,284,682
285,hRSV/A/England/397/2017,285,663
286,hRSV/A/England/397/2017,286,666
287,hRSV/A/England/397/2017,287,673
288,hRSV/A/England/397/2017,288,673
289,hRSV/A/England/397/2017,289,658
290,hRSV/A/England/397/2017,290,656
291,hRSV/A/England/397/2017,291,672
