#indeks,segment,pozycja,pokrycie
1,hRSV/A/England/397/2017,1,0
2,hRSV/A/England/397/2017,2,0
3,hRSV/A/England/397/2017,3,0
4,hRSV/A/England/397/2017,4,0
5,hRSV/A/England/397/2017,5,0
6,hRSV/A/England/397/2017,6,0
7,hRSV/A/England/397/2017,7,0
8,hRSV/A/England/397/2017,8,0
9,hRSV/A/England/397/2017,9,0
10,hRSV/A/England/397/2017,10,0
11,hRSV/A/England/397/2017,11,0
12,hRSV/A/England/397/2017,12,0
13,hRSV/A/England/397/2017,13,0
14,hRSV/A/England/397/2017,14,0
15,hRSV/A/England/397/2017,15,0
16,hRSV/A/England/397/2017,16,0
17,hRSV/A/England/397/2017,17,0
18,hRSV/A/England/397/2017,18,0
19,hRSV/A/England/397/2017,19,0
20,hRSV/A/England/397/2017,20,0
21,hRSV/A/England/397/2017,21,0
22,hRSV/A/England/397/2017,22,0
23,hRSV/A/England/397/2017,23,0
24,hRSV/A/England/397/2017,24,0
25,hRSV/A/England/397/2017,25,0
26,hRSV/A/England/397/2017,26,0
27,hRSV/A/England/397/2017,27,0
28,hRSV/A/England/397/2017,28,0
29,hRSV/A/England/397/2017,29,0
30,hRSV/A/England/397/2017,30,0
31,hRSV/A/England/397/2017,31,0
32,hRSV/A/England/397/2017,32,0
33,hRSV/A/England/397/2017,33,0
34,hRSV/A/England/397/2017,34,0
35,hRSV/A/England/397/2017,35,0
36,hRSV/A/England/397/2017,36,0
37,hRSV/A/England/397/2017,37,0
38,hRSV/A/England/397/2017,38,0
39,hRSV/A/England/397/2017,39,0
40,hRSV/A/England/397/2017,40,0
41,hRSV/A/England/397/2017,41,0
42,hRSV/A/England/397/2017,42,0
43,hRSV/A/England/397/2017,43,0
44,hRSV/A/England/397/2017,44,0
45,hRSV/A/England/397/2017,45,0
46,hRSV/A/England/397/2017,46,0
47,hRSV/A/England/397/2017,47,0
48,hRSV/A/England/397/2017,48,0
49,hRSV/A/England/397/2017,49,0
50,hRSV/A/England/397/2017,50,0
51,hRSV/A/England/397/2017,51,0
52,hRSV/A/England/397/2017,52,0
53,hRSV/A/England/397/2017,53,0
54,hRSV/A/England/397/2017,54,0
55,hRSV/A/England/397/2017,55,0
56,hRSV/A/England/397/2017,56,0
57,hRSV/A/England/397/2017,57,0
58,hRSV/A/England/397/2017,58,0
59,hRSV/A/England/397/2017,59,0
60,hRSV/A/England/397/2017,60,0
61,hRSV/A/England/397/2017,61,0
62,hRSV/A/England/397/2017,62,0
63,hRSV/A/England/397/2017,63,0
64,hRSV/A/England/397/2017,64,0
65,hRSV/A/England/397/2017,65,0
66,hRSV/A/England/397/2017,66,0
67,hRSV/A/England/397/2017,67,0
68,hRSV/A/England/397/2017,68,0
69,hRSV/A/England/397/2017,69,0
70,hRSV/A/England/397/2017,70,0
71,hRSV/A/England/397/2017,71,0
72,hRSV/A/England/397/2017,72,0
73,hRSV/A/England/397/2017,73,0
74,hRSV/A/England/397/2017,74,0
75,hRSV/A/England/397/2017,75,0
76,hRSV/A/England/397/2017,76,0
77,hRSV/A/England/397/2017,77,0
78,hRSV/A/England/397/2017,78,0
79,hRSV/A/England/397/2017,79,0
80,hRSV/A/England/397/2017,80,0
81,hRSV/A/England/397/2017,81,0
82,hRSV/A/England/397/2017,82,286
83,hRSV/A/England/397/2017,83,320
84,hRSV/A/England/397/2017,84,327
85,hRSV/A/England/397/2017,85,327
86,hRSV/A/England/397/2017,86,327
87,hRSV/A/England/397/2017,87,361
88,hRSV/A/England/397/2017,88,363
89,hRSV/A/England/397/2017,89,405
90,hRSV/A/England/397/2017,90,418
91,hRSV/A/England/397/2017,91,421
92,hRSV/A/England/397/2017,92,475
93,hRSV/A/England/397/2017,93,491
94,hRSV/A/England/397/2017,94,530
95,hRSV/A/England/397/2017,95,531
96,hRSV/A/England/397/2017,96,533
97,hRSV/A/England/397/2017,97,535
98,hRSV/A/England/397/2017,98,563
99,hRSV/A/England/397/2017,99,565
100,hRSV/A/England/397/2017,100,569
101,hRSV/A/England/397/2017,101,579
102,hRSV/A/England/397/2017,102,579
103,hRSV/A/England/397/2017,103,579
104,hRSV/A/England/397/2017,104,581
105,hRSV/A/England/397/2017,105,586
106,hRSV/A/England/397/2017,106,593
107,hRSV/A/England/397/2017,107,598
108,hRSV/A/England/397/2017,108,620
109,hRSV/A/England/397/2017,109,623
110,hRSV/A/England/397/2017,110,624
111,hRSV/A/England/397/2017,111,624
112,hRSV/A/England/397/2017,112,626
113,hRSV/A/England/397/2017,113,629
114,hRSV/A/England/397/2017,114,630
115,hRSV/A/England/397/2017,115,643
116,hRSV/A/England/397/2017,116,645
117,hRSV/A/England/397/2017,117,656
118,hRSV/A/England/397/2017,118,661
119,hRSV/A/England/397/2017,119,661
120,hRSV/A/England/397/2017,120,662
121,hRSV/A/England/397/2017,121,665
122,hRSV/A/England/397/2017,122,673
123,hRSV/A/England/397/2017,123,676
124,hRSV/A/England/397/2017,124,676
125,hRSV/A/England/397/2017,125,682
126,hRSV/A/England/397/2017,126,693
127,hRSV/A/England/397/2017,127,695
128,hRSV/A/England/397/2017,128,698
129,hRSV/A/England/397/2017,129,699
130,hRSV/A/England/397/2017,130,702
131,hRSV/A/England/397/2017,131,710
132,hRSV/A/England/397/2017,132,710
133,hRSV/A/England/397/2017,133,713
134,hRSV/A/England/397/2017,134,766
135,hRSV/A/England/397/2017,135,766
136,hRSV/A/England/397/2017,136,768
137,hRSV/A/England/397/2017,137,775
138,hRSV/A/England/397/2017,138,776
139,hRSV/A/England/397/2017,139,790
140,hRSV/A/England/397/2017,140,790
141,hRSV/A/England/397/2017,141,830
142,hRSV/A/England/397/2017,142,839
143,hRSV/A/England/397/2017,143,840
144,hRSV/A/England/397/2017,144,846
145,hRSV/A/England/397/2017,145,847
146,hRSV/A/England/397/2017,146,856
147,hRSV/A/England/397/2017,147,857
148,hRSV/A/England/397/2017,148,861
149,hRSV/A/England/397/2017,149,863
150,hRSV/A/England/397/2017,150,868
151,hRSV/A/England/397/2017,151,869
152,hRSV/A/England/397/2017,152,877
153,hRSV/A/England/397/2017,153,916
154,hRSV/A/England/397/2017,154,918
155,hRSV/A/England/397/2017,155,920
156,hRSV/A/England/397/2017,156,925
157,hRSV/A/England/397/2017,157,922
158,hRSV/A/England/397/2017,158,947
159,hRSV/A/England/397/2017,159,947
160,hRSV/A/England/397/2017,160,949
161,hRSV/A/England/397/2017,161,949
162,hRSV/A/England/397/2017,162,945
163,hRSV/A/England/397/2017,163,945
164,hRSV/A/England/397/2017,164,948
165,hRSV/A/England/397/2017,165,952
166,hRSV/A/England/397/2017,166,952
167,hRSV/A/England/397/2017,167,962
168,hRSV/A/England/397/2017,168,966
169,hRSV/A/England/397/2017,169,975
170,hRSV/A/England/397/2017,170,976
171,hRSV/A/England/397/2017,171,979
172,hRSV/A/England/397/2017,172,981
173,hRSV/A/England/397/2017,173,981
174,hRSV/A/England/397/2017,174,981
175,hRSV/A/England/397/2017,175,987
176,hRSV/A/England/397/2017,176,961
177,hRSV/A/England/397/2017,177,966
178,hRSV/A/England/397/2017,178,994
179,hRSV/A/England/397/2017,179,996
180,hRSV/A/England/397/2017,180,1011
181,hRSV/A/England/397/2017,181,1010
182,hRSV/A/England/397/2017,182,1013
183,hRSV/A/England/397/2017,183,1011
184,hRSV/A/England/397/2017,184,1003
185,hRSV/A/England/397/2017,185,1003
186,hRSV/A/England/397/2017,186,993
187,hRSV/A/England/397/2017,187,999
188,hRSV/A/England/397/2017,188,1006
189,hRSV/A/England/397/2017,189,1019
190,hRSV/A/England/397/2017,190,1027
191,hRSV/A/England/397/2017,191,1025
192,hRSV/A/England/397/2017,192,1039
193,hRSV/A/England/397/2017,193,1040
194,hRSV/A/England/397/2017,194,1046
195,hRSV/A/England/397/2017,195,1044
196,hRSV/A/England/397/2017,196,1034
197,hRSV/A/England/397/2017,197,1034
198,hRSV/A/England/397/2017,198,1039
199,hRSV/A/England/397/2017,199,1042
200,hRSV/A/England/397/2017,200,1045
201,hRSV/A/England/397/2017,201,1011
202,hRSV/A/England/397/2017,202,1034
203,hRSV/A/England/397/2017,203,1036
204,hRSV/A/England/397/2017,204,1045
205,hRSV/A/England/397/2017,205,1047
206,hRSV/A/England/397/2017,206,1050
207,hRSV/A/England/397/2017,207,1043
208,hRSV/A/England/397/2017,208,1041
209,hRSV/A/England/397/2017,209,1017
210,hRSV/A/England/397/2017,210,1017
211,hRSV/A/England/397/2017,211,977
212,hRSV/A/England/397/2017,212,979
213,hRSV/A/England/397/2017,213,969
214,hRSV/A/England/397/2017,214,974
215,hRSV/A/England/397/2017,215,956
216,hRSV/A/England/397/2017,216,949
217,hRSV/A/England/397/2017,217,939
218,hRSV/A/England/397/2017,218,938
219,hRSV/A/England/397/2017,219,938
220,hRSV/A/England/397/2017,220,933
221,hRSV/A/England/397/2017,221,916
222,hRSV/A/England/397/2017,222,917
223,hRSV/A/England/397/2017,223,907
224,hRSV/A/England/397/2017,224,912
225,hRSV/A/England/397/2017,225,901
226,hRSV/A/England/397/2017,226,898
227,hRSV/A/England/397/2017,227,887
228,hRSV/A/England/397/2017,228,836
229,hRSV/A/England/397/2017,229,833
230,hRSV/A/England/397/2017,230,832
231,hRSV/A/England/397/2017,231,816
232,hRSV/A/England/397/2017,232,855
233,hRSV/A/England/397/2017,233,859
234,hRSV/A/England/397/2017,234,857
235,hRSV/A/England/397/2017,235,835
236,hRSV/A/England/397/2017,236,814
237,hRSV/A/England/397/2017,237,793
238,hRSV/A/England/397/2017,238,797
239,hRSV/A/England/397/2017,239,825
240,hRSV/A/England/397/2017,240,797
241,hRSV/A/England/397/2017,241,750
242,hRSV/A/England/397/2017,242,732
243,hRSV/A/England/397/2017,243,745
244,hRSV/A/England/397/2017,244,743
245,hRSV/A/England/397/2017,245,747
246,hRSV/A/England/397/2017,246,738
247,hRSV/A/England/397/2017,247,725
248,hRSV/A/England/397/2017,248,726
249,hRSV/A/England/397/2017,249,727
250,hRSV/A/England/397/2017,250,727
251,hRSV/A/England/397/2017,251,729
252,hRSV/A/England/397/2017,252,722
253,hRSV/A/England/397/2017,253,719
254,hRSV/A/England/397/2017,254,723
255,hRSV/A/England/397/2017,255,720
256,hRSV/A/England/397/2017,256,704
257,hRSV/A/England/397/2017,257,706
258,hRSV/A/England/397/2017,258,706
259,hRSV/A/England/397/2017,259,708
260,hRSV/A/England/397/2017,260,717
261,hRSV/A/England/397/2017,261,725
262,hRSV/A/England/397/2017,262,725
263,hRSV/A/England/397/2017,263,712
264,hRSV/A/England/397/2017,264,711
265,hRSV/A/England/397/2017,265,707
266,hRSV/A/England/397/2017,266,699
267,hRSV/A/England/397/2017,267,704
268,hRSV/A/England/397/2017,268,702
269,hRSV/A/England/397/2017,269,700
270,hRSV/A/England/397/2017,270,698
271,hRSV/A/England/397/2017,271,737
272,hRSV/A/England/397/2017,272,740
273,hRSV/A/England/397/2017,273,777
274,hRSV/A/England/397/2017,274,770
275,hRSV/A/England/397/2017,275,769
276,hRSV/A/England/397/2017,276,777
277,hRSV/A/England/397/2017,277,776
278,hRSV/A/England/397/2017,278,787
279,hRSV/A/England/397/2017,279,781
280,hRSV/A/England/397/2017,280,727
281,hRSV/A/England/397/2017,281,730
282,hRSV/A/England/397/2017,282,694
283,hRSV/A/England/397/2017,283,695
284,hRSV/A/England/397/2017,284,689
285,hRSV/A/England/397/2017,285,680
286,hRSV/A/England/397/2017,286,683
287,hRSV/A/England/397/2017,287,684
288,hRSV/A/England/397/2017,288,684
289,hRSV/A/England/397/2017,289,649
290,hRSV/A/England/397/2017,290,646
