#indeks,segment,pozycja,pokrycie
1,hRSV/A/England/397/2017,1,0
2,hRSV/A/England/397/2017,2,0
3,hRSV/A/England/397/2017,3,0
4,hRSV/A/England/397/2017,4,0
5,hRSV/A/England/397/2017,5,0
6,hRSV/A/England/397/2017,6,0
7,hRSV/A/England/397/2017,7,0
8,hRSV/A/England/397/2017,8,0
9,hRSV/A/England/397/2017,9,0
10,hRSV/A/England/397/2017,10,0
11,hRSV/A/England/397/2017,11,0
12,hRSV/A/England/397/2017,12,0
13,hRSV/A/England/397/2017,13,0
14,hRSV/A/England/397/2017,14,0
15,hRSV/A/England/397/2017,15,0
16,hRSV/A/England/397/2017,16,0
17,hRSV/A/England/397/2017,17,0
18,hRSV/A/England/397/2017,18,0
19,hRSV/A/England/397/2017,19,0
20,hRSV/A/England/397/2017,20,0
21,hRSV/A/England/397/2017,21,0
22,hRSV/A/England/397/2017,22,0
23,hRSV/A/England/397/2017,23,0
24,hRSV/A/England/397/2017,24,0
25,hRSV/A/England/397/2017,25,0
26,hRSV/A/England/397/2017,26,0
27,hRSV/A/England/397/2017,27,0
28,hRSV/A/England/397/2017,28,0
29,hRSV/A/England/397/2017,29,0
30,hRSV/A/England/397/2017,30,0
31,hRSV/A/England/397/2017,31,0
32,hRSV/A/England/397/2017,32,0
33,hRSV/A/England/397/2017,33,0
34,hRSV/A/England/397/2017,34,0
35,hRSV/A/England/397/2017,35,0
36,hRSV/A/England/397/2017,36,0
37,hRSV/A/England/397/2017,37,0
38,hRSV/A/England/397/2017,38,0
39,hRSV/A/England/397/2017,39,0
40,hRSV/A/England/397/2017,40,0
41,hRSV/A/England/397/2017,41,0
42,hRSV/A/England/397/2017,42,0
43,hRSV/A/England/397/2017,43,0
44,hRSV/A/England/397/2017,44,0
45,hRSV/A/England/397/2017,45,0
46,hRSV/A/England/397/2017,46,0
47,hRSV/A/England/397/2017,47,0
48,hRSV/A/England/397/2017,48,0
49,hRSV/A/England/397/2017,49,0
50,hRSV/A/England/397/2017,50,0
51,hRSV/A/England/397/2017,51,0
52,hRSV/A/England/397/2017,52,0
53,hRSV/A/England/397/2017,53,0
54,hRSV/A/England/397/2017,54,0
55,hRSV/A/England/397/2017,55,0
56,hRSV/A/England/397/2017,56,0
57,hRSV/A/England/397/2017,57,0
58,hRSV/A/England/397/2017,58,0
59,hRSV/A/England/397/2017,59,0
60,hRSV/A/England/397/2017,60,0
61,hRSV/A/England/397/2017,61,0
62,hRSV/A/England/397/2017,62,0
63,hRSV/A/England/397/2017,63,0
64,hRSV/A/England/397/2017,64,0
65,hRSV/A/England/397/2017,65,0
66,hRSV/A/England/397/2017,66,0
67,hRSV/A/England/397/2017,67,0
68,hRSV/A/England/397/2017,68,0
69,hRSV/A/England/397/2017,69,0
70,hRSV/A/England/397/2017,70,0
71,hRSV/A/England/397/2017,71,0
72,hRSV/A/England/397/2017,72,0
73,hRSV/A/England/397/2017,73,0
74,hRSV/A/England/397/2017,74,0
75,hRSV/A/England/397/2017,75,0
76,hRSV/A/England/397/2017,76,0
77,hRSV/A/England/397/2017,77,0
78,hRSV/A/England/397/2017,78,0
79,hRSV/A/England/397/2017,79,0
80,hRSV/A/England/397/2017,80,0
81,hRSV/A/England/397/2017,81,0
82,hRSV/A/England/397/2017,82,290
83,hRSV/A/England/397/2017,83,319
84,hRSV/A/England/397/2017,84,330
85,hRSV/A/England/397/2017,85,330
86,hRSV/A/England/397/2017,86,330
87,hRSV/A/England/397/2017,87,352
88,hRSV/A/England/397/2017,88,355
89,hRSV/A/England/397/2017,89,400
90,hRSV/A/England/397/2017,90,415
91,hRSV/A/England/397/2017,91,416
92,hRSV/A/England/397/2017,92,450
93,hRSV/A/England/397/2017,93,468
94,hRSV/A/England/397/2017,94,505
95,hRSV/A/England/397/2017,95,506
96,hRSV/A/England/397/2017,96,510
97,hRSV/A/England/397/2017,97,510
98,hRSV/A/England/397/2017,98,554
99,hRSV/A/England/397/2017,99,555
100,hRSV/A/England/397/2017,100,557
101,hRSV/A/England/397/2017,101,560
102,hRSV/A/England/397/2017,102,560
103,hRSV/A/England/397/2017,103,565
104,hRSV/A/England/397/2017,104,565
105,hRSV/A/England/397/2017,105,571
106,hRSV/A/England/397/2017,106,583
107,hRSV/A/England/397/2017,107,595
108,hRSV/A/England/397/2017,108,602
109,hRSV/A/England/397/2017,109,606
110,hRSV/A/England/397/2017,110,609
111,hRSV/A/England/397/2017,111,609
112,hRSV/A/England/397/2017,112,614
113,hRSV/A/England/397/2017,113,621
114,hRSV/A/England/397/2017,114,624
115,hRSV/A/England/397/2017,115,638
116,hRSV/A/England/397/2017,116,640
117,hRSV/A/England/397/2017,117,644
118,hRSV/A/England/397/2017,118,648
119,hRSV/A/England/397/2017,119,648
120,hRSV/A/England/397/2017,120,649
121,hRSV/A/England/397/2017,121,653
122,hRSV/A/England/397/2017,122,657
123,hRSV/A/England/397/2017,123,661
124,hRSV/A/England/397/2017,124,661
125,hRSV/A/England/397/2017,125,678
126,hRSV/A/England/397/2017,126,689
127,hRSV/A/England/397/2017,127,690
128,hRSV/A/England/397/2017,128,692
129,hRSV/A/England/397/2017,129,694
130,hRSV/A/England/397/2017,130,698
131,hRSV/A/England/397/2017,131,711
132,hRSV/A/England/397/2017,132,711
133,hRSV/A/England/397/2017,133,714
134,hRSV/A/England/397/2017,134,757
135,hRSV/A/England/397/2017,135,757
136,hRSV/A/England/397/2017,136,764
137,hRSV/A/England/397/2017,137,773
138,hRSV/A/England/397/2017,138,773
139,hRSV/A/England/397/2017,139,785
140,hRSV/A/England/397/2017,140,785
141,hRSV/A/England/397/2017,141,811
142,hRSV/A/England/397/2017,142,814
143,hRSV/A/England/397/2017,143,814
144,hRSV/A/England/397/2017,144,816
145,hRSV/A/England/397/2017,145,817
146,hRSV/A/England/397/2017,146,819
147,hRSV/A/England/397/2017,147,821
148,hRSV/A/England/397/2017,148,833
149,hRSV/A/England/397/2017,149,833
150,hRSV/A/England/397/2017,150,833
151,hRSV/A/England/397/2017,151,836
152,hRSV/A/England/397/2017,152,843
153,hRSV/A/England/397/2017,153,884
154,hRSV/A/England/397/2017,154,885
155,hRSV/A/England/397/2017,155,888
156,hRSV/A/England/397/2017,156,891
157,hRSV/A/England/397/2017,157,891
158,hRSV/A/England/397/2017,158,916
159,hRSV/A/England/397/2017,159,916
160,hRSV/A/England/397/2017,160,916
161,hRSV/A/England/397/2017,161,916
162,hRSV/A/England/397/2017,162,906
163,hRSV/A/England/397/2017,163,908
164,hRSV/A/England/397/2017,164,911
165,hRSV/A/England/397/2017,165,912
166,hRSV/A/England/397/2017,166,912
167,hRSV/A/England/397/2017,167,926
168,hRSV/A/England/397/2017,168,927
169,hRSV/A/England/397/2017,169,935
170,hRSV/A/England/397/2017,170,936
171,hRSV/A/England/397/2017,171,936
172,hRSV/A/England/397/2017,172,939
173,hRSV/A/England/397/2017,173,937
174,hRSV/A/England/397/2017,174,935
175,hRSV/A/England/397/2017,175,937
176,hRSV/A/England/397/2017,176,913
177,hRSV/A/England/397/2017,177,916
178,hRSV/A/England/397/2017,178,924
179,hRSV/A/England/397/2017,179,928
180,hRSV/A/England/397/2017,180,938
181,hRSV/A/England/397/2017,181,938
182,hRSV/A/England/397/2017,182,939
183,hRSV/A/England/397/2017,183,936
184,hRSV/A/England/397/2017,184,928
185,hRSV/A/England/397/2017,185,930
186,hRSV/A/England/397/2017,186,922
187,hRSV/A/England/397/2017,187,925
188,hRSV/A/England/397/2017,188,936
189,hRSV/A/England/397/2017,189,938
190,hRSV/A/England/397/2017,190,940
191,hRSV/A/England/397/2017,191,938
192,hRSV/A/England/397/2017,192,949
193,hRSV/A/England/397/2017,193,949
194,hRSV/A/England/397/2017,194,959
195,hRSV/A/England/397/2017,195,961
196,hRSV/A/England/397/2017,196,953
197,hRSV/A/England/397/2017,197,956
198,hRSV/A/England/397/2017,198,956
199,hRSV/A/England/397/2017,199,956
200,hRSV/A/England/397/2017,200,960
201,hRSV/A/England/397/2017,201,940
202,hRSV/A/England/397/2017,202,949
203,hRSV/A/England/397/2017,203,948
204,hRSV/A/England/397/2017,204,956
205,hRSV/A/England/397/2017,205,958
206,hRSV/A/England/397/2017,206,951
207,hRSV/A/England/397/2017,207,943
208,hRSV/A/England/397/2017,208,947
209,hRSV/A/England/397/2017,209,929
210,hRSV/A/England/397/2017,210,929
211,hRSV/A/England/397/2017,211,883
212,hRSV/A/England/397/2017,212,883
213,hRSV/A/England/397/2017,213,879
214,hRSV/A/England/397/2017,214,882
215,hRSV/A/England/397/2017,215,864
216,hRSV/A/England/397/2017,216,853
217,hRSV/A/England/397/2017,217,854
218,hRSV/A/England/397/2017,218,852
219,hRSV/A/England/397/2017,219,854
220,hRSV/A/England/397/2017,220,838
221,hRSV/A/England/397/2017,221,820
222,hRSV/A/England/397/2017,222,821
223,hRSV/A/England/397/2017,223,818
224,hRSV/A/England/397/2017,224,822
225,hRSV/A/England/397/2017,225,814
226,hRSV/A/England/397/2017,226,805
227,hRSV/A/England/397/2017,227,793
228,hRSV/A/England/397/2017,228,761
229,hRSV/A/England/397/2017,229,756
230,hRSV/A/England/397/2017,230,760
231,hRSV/A/England/397/2017,231,735
232,hRSV/A/England/397/2017,232,768
233,hRSV/A/England/397/2017,233,770
234,hRSV/A/England/397/2017,234,771
235,hRSV/A/England/397/2017,235,755
236,hRSV/A/England/397/2017,236,729
237,hRSV/A/England/397/2017,237,705
238,hRSV/A/England/397/2017,238,708
239,hRSV/A/England/397/2017,239,735
240,hRSV/A/England/397/2017,240,714
241,hRSV/A/England/397/2017,241,667
242,hRSV/A/England/397/2017,242,647
243,hRSV/A/England/397/2017,243,651
244,hRSV/A/England/397/2017,244,651
245,hRSV/A/England/397/2017,245,657
246,hRSV/A/England/397/2017,246,639
247,hRSV/A/England/397/2017,247,638
248,hRSV/A/England/397/2017,248,638
249,hRSV/A/England/397/2017,249,642
250,hRSV/A/England/397/2017,250,643
251,hRSV/A/England/397/2017,251,647
252,hRSV/A/England/397/2017,252,629
253,hRSV/A/England/397/2017,253,628
254,hRSV/A/England/397/2017,254,623
255,hRSV/A/England/397/2017,255,613
256,hRSV/A/England/397/2017,256,606
257,hRSV/A/England/397/2017,257,607
258,hRSV/A/England/397/2017,258,598
259,hRSV/A/England/397/2017,259,596
260,hRSV/A/England/397/2017,260,599
261,hRSV/A/England/397/2017,261,598
262,hRSV/A/England/397/2017,262,595
263,hRSV/A/England/397/2017,263,581
264,hRSV/A/England/397/2017,264,577
265,hRSV/A/England/397/2017,265,572
266,hRSV/A/England/397/2017,266,573
267,hRSV/A/England/397/2017,267,578
268,hRSV/A/England/397/2017,268,581
269,hRSV/A/England/397/2017,269,578
270,hRSV/A/England/397/2017,270,572
271,hRSV/A/England/397/2017,271,643
272,hRSV/A/England/397/2017,272,644
273,hRSV/A/England/397/2017,273,675
274,hRSV/A/England/397/2017,274,669
275,hRSV/A/England/397/2017,275,676
276,hRSV/A/England/397/2017,276,678
277,hRSV/A/England/397/2017,277,676
278,hRSV/A/England/397/2017,278,693
279,hRSV/A/England/397/2017,279,683
280,hRSV/A/England/397/2017,280,657
281,hRSV/A/England/397/2017,281,656
282,hRSV/A/England/397/2017,282,622
283,hRSV/A/England/397/2017,283,630
284,hRSV/A/England/397/2017,284,623
285,hRSV/A/England/397/2017,285,612
286,hRSV/A/England/397/2017,286,614
287,hRSV/A/England/397/2017,287,613
288,hRSV/A/England/397/2017,288,614
289,hRSV/A/England/397/2017,289,597
290,hRSV/A/England/397/2017,290,595
291,hRSV/A/England/397/2017,291,613
